,month_year,n_af_all,n_af_create,n_af_modify,n_af_hit
0,2009-03,1281,0,1281,0
1,2009-04,492,0,492,0
2,2009-05,210,0,210,0
3,2009-06,300,0,300,0
4,2009-07,273,0,273,0
5,2009-08,539,0,539,0
6,2009-09,326,0,326,0
7,2009-10,172,0,172,0
8,2009-11,229,0,229,0
9,2009-12,239,0,239,0
10,2010-01,265,0,265,0
11,2010-02,304,0,304,0
12,2010-03,338,0,338,0
13,2010-04,439,0,439,0
14,2010-05,228,0,228,0
15,2010-06,131,0,131,0
16,2010-07,181,0,181,0
17,2010-08,197,0,197,0
18,2010-09,220,0,220,0
19,2010-10,162,0,162,0
20,2010-11,131,0,131,0
21,2010-12,157,0,157,0
22,2011-01,182,0,182,0
23,2011-02,133,0,133,0
24,2011-03,156,0,156,0
25,2011-04,259,0,259,0
26,2011-05,206,0,206,0
27,2011-06,100,0,100,0
28,2011-07,83,0,83,0
29,2011-08,150,0,150,0
30,2011-09,152,0,152,0
31,2011-10,148,0,148,0
32,2011-11,164,0,164,0
33,2011-12,190,0,190,0
34,2012-01,145,0,145,0
35,2012-02,241,0,241,0
36,2012-03,102,0,102,0
37,2012-04,139,0,139,0
38,2012-05,88,0,88,0
39,2012-06,108,0,108,0
40,2012-07,91,0,91,0
41,2012-08,163,0,163,0
42,2012-09,206,0,206,0
43,2012-10,122,0,122,0
44,2012-11,73,0,73,0
45,2012-12,182,0,182,0
46,2013-01,183,0,183,0
47,2013-02,149,0,149,0
48,2013-03,145,0,145,0
49,2013-04,238,0,238,0
50,2013-05,150,0,150,0
51,2013-06,192,0,192,0
52,2013-07,143,0,143,0
53,2013-08,64,0,64,0
54,2013-09,151,0,151,0
55,2013-10,68,0,68,0
56,2013-11,47,0,47,0
57,2013-12,45,0,45,0
58,2014-01,138,0,138,0
59,2014-02,48,0,48,0
60,2014-03,138,0,138,0
61,2014-04,110,0,110,0
62,2014-05,80,0,80,0
63,2014-06,56,0,56,0
64,2014-07,114,0,114,0
65,2014-08,109,0,109,0
66,2014-09,98,0,98,0
67,2014-10,73,0,73,0
68,2014-11,72,0,72,0
69,2014-12,146,0,146,0
70,2015-01,111,0,111,0
71,2015-02,219,0,219,0
72,2015-03,107,0,107,0
73,2015-04,127,0,127,0
74,2015-05,105,0,105,0
75,2015-06,101,0,101,0
76,2015-07,204,0,204,0
77,2015-08,216,0,216,0
78,2015-09,128,0,128,0
79,2015-10,99,0,99,0
80,2015-11,100,0,100,0
81,2015-12,112,0,112,0
82,2016-01,127,0,127,0
83,2016-02,42,0,42,0
84,2016-03,45,0,45,0
85,2016-04,134,0,134,0
86,2016-05,94,0,94,0
87,2016-06,212,0,212,0
88,2016-07,180,0,180,0
89,2016-08,140,0,140,0
90,2016-09,168,0,168,0
91,2016-10,83,0,83,0
92,2016-11,201,0,201,0
93,2016-12,307,0,307,0
94,2017-01,315,0,315,0
95,2017-02,134,0,134,0
96,2017-03,104,0,104,0
97,2017-04,151,0,151,0
98,2017-05,138,0,138,0
99,2017-06,72,0,72,0
100,2017-07,92,0,92,0
101,2017-08,194,0,194,0
102,2017-09,148,0,148,0
103,2017-10,128,0,128,0
104,2017-11,188,0,188,0
105,2017-12,126,0,126,0
106,2018-01,119,1,118,0
107,2018-02,60,3,57,0
108,2018-03,73,6,67,0
109,2018-04,190,6,184,0
110,2018-05,160,3,157,0
111,2018-06,216,5,211,0
112,2018-07,186,3,183,0
113,2018-08,115,3,112,0
114,2018-09,158,6,152,0
115,2018-10,252,4,248,0
116,2018-11,401,6,395,0
117,2018-12,255,8,247,0
118,2019-01,381,7,374,0
119,2019-02,330,7,323,0
120,2019-03,323,11,312,0
121,2019-04,170,10,160,0
122,2019-05,202,8,194,0
123,2019-06,134,0,134,0
124,2019-07,83,2,81,0
125,2019-08,138,4,134,0
126,2019-09,93,1,92,0
127,2019-10,152,4,148,0
128,2019-11,247,7,240,0
129,2019-12,123,5,118,0
130,2020-01,103,8,95,0
131,2020-02,169,9,160,0
132,2020-03,141,10,131,0
133,2020-04,117,6,111,0
134,2020-05,324,11,313,0
135,2020-06,142,8,134,0
136,2020-07,76,5,71,0
137,2020-08,62,5,57,0
138,2020-09,76,8,68,0
139,2020-10,124,9,115,0
140,2020-11,108,6,102,0
141,2020-12,60,4,56,0
142,2021-01,131,8,123,0
143,2021-02,132,9,123,0
144,2021-03,120,11,109,0
145,2021-04,105,6,99,0
146,2021-05,139,10,129,0
147,2021-06,56,2,54,0
148,2021-07,127,3,124,0
149,2021-08,154,6,148,0
150,2021-09,131,4,127,0
151,2021-10,198,8,190,0
152,2021-11,164,2,162,0
153,2021-12,151,2,149,0
154,2022-01,170,4,166,0
155,2022-02,240,5,235,0
156,2022-03,219,8,211,0
157,2022-04,260,4,256,0
158,2022-05,238,6,232,0
159,2022-06,128,3,125,0
160,2022-07,154,2,152,0
161,2022-08,162,4,158,0
162,2022-09,100,5,95,0
163,2022-10,379,11,368,0
164,2022-11,147,1,146,0
165,2022-12,95,3,92,0
166,2023-01,207,5,202,0
167,2023-02,114,2,112,0
168,2023-03,143,2,141,0
169,2023-04,157,4,153,0
170,2023-05,206,6,200,0
171,2023-06,134,3,131,0
172,2023-07,106,5,101,0
173,2023-08,178,2,176,0
174,2023-09,116,3,113,0
175,2023-10,219,8,211,0
176,2023-11,214,4,210,0
177,2023-12,363,6,357,0
